entity,kg_sim_mu,et_sim_mu,degree,avg_txt_length,kg_degree,et_degree,type_kg_ratio
/m/01tlmw,0.21839787065982819,0.3689880967140198,20,91.45,13,7,0.5384615384615384
/m/016wyn,0.24079200625419617,0.5116692781448364,28,107.57142857142857,21,7,0.3333333333333333
/m/02k6hp,0.2599356472492218,0.39782294631004333,22,107.45454545454545,19,3,0.15789473684210525
/m/01fszq,0.5136972665786743,0.3309832811355591,13,87.53846153846153,11,2,0.18181818181818182
/m/0dr_4,0.379305362701416,0.38624459505081177,128,103.546875,115,13,0.11304347826086956
/m/04pqqb,0.15412651002407074,0.37131267786026,30,88.76666666666667,25,5,0.2
/m/047s_cr,0.3512755334377289,0.3701535165309906,11,75.0909090909091,8,3,0.375
/m/07vc_9,0.27545636892318726,0.4154355227947235,28,100.14285714285714,22,6,0.2727272727272727
/m/05qx1,0.21817776560783386,0.361594021320343,91,110.6923076923077,71,20,0.28169014084507044
/m/0g824,0.22942256927490234,0.403935045003891,118,83.73728813559322,92,26,0.2826086956521739
/m/012xdf,0.15941239893436432,0.37104326486587524,36,102.47222222222223,27,9,0.3333333333333333
/m/0ny1p,0.28776437044143677,0.5279006361961365,9,84.11111111111111,5,4,0.8
/m/0fy6bh,0.6190747022628784,0.4876418113708496,43,116.95348837209302,40,3,0.075
/m/04n6k,0.7131727933883667,0.44310620427131653,278,138.91726618705036,267,11,0.04119850187265917
/m/0dwt5,0.6387964487075806,0.5,74,121.62162162162163,73,1,0.0136986301369863
/m/0blpnz,0.1949247419834137,0.6115396022796631,18,85.16666666666667,13,5,0.38461538461538464
/m/04htfd,0.30500227212905884,0.3104652464389801,26,107.34615384615384,18,8,0.4444444444444444
/m/02gpkt,0.32707566022872925,0.44283971190452576,36,85.25,30,6,0.2
/m/026zvx7,0.2418060302734375,0.4634925127029419,22,96.54545454545455,18,4,0.2222222222222222
/m/046lt,0.21911856532096863,0.40968433022499084,38,85.47368421052632,28,10,0.35714285714285715
/m/04qsdh,0.27027085423469543,0.45719772577285767,44,103.54545454545455,36,8,0.2222222222222222
/m/0t_2,0.42288336157798767,0.3705015182495117,15,75.53333333333333,13,2,0.15384615384615385
/m/0hm10,0.3082588016986847,0.5,5,93.4,4,1,0.25
/m/07g0_,0.4978596270084381,0.3314438462257385,6,75.33333333333333,4,2,0.5
/m/03f2w,0.3931107819080353,0.367287814617157,30,123.16666666666667,22,8,0.36363636363636365
/m/01k9cc,0.6191331744194031,0.4536074697971344,15,100.86666666666666,12,3,0.25
/m/0bzm81,0.6666873097419739,0.34657713770866394,42,120.26190476190476,40,2,0.05
/m/01_fjr,0.5518507361412048,0.5,17,146.88235294117646,16,1,0.0625
/m/0fh694,0.4473511874675751,0.4871489107608795,70,114.88571428571429,64,6,0.09375
/m/03_d0,0.3768228590488434,0.4080352783203125,83,63.036144578313255,72,11,0.1527777777777778
/m/092bf5,0.39665552973747253,0.4538835883140564,30,96.9,24,6,0.25
/m/01k3s2,0.3385910987854004,0.38131603598594666,32,112.375,24,8,0.3333333333333333
/m/0jrg,0.3067566156387329,0.37790653109550476,15,63.666666666666664,5,10,2.0
/m/09p4w8,0.3593311011791229,0.43839848041534424,46,95.47826086956522,40,6,0.15
/m/0g4gr,0.4645373821258545,0.4383464753627777,58,129.25862068965517,48,10,0.20833333333333334
/m/07h1h5,0.6238079071044922,0.5,5,139.0,5,0,0.0
/m/09l9tq,0.4065200984477997,0.5,8,128.875,8,0,0.0
/m/02cbg0,0.3557407259941101,0.5693699717521667,40,107.375,36,4,0.1111111111111111
/m/05fg2,0.24847954511642456,0.3935282826423645,14,84.64285714285714,9,5,0.5555555555555556
/m/01lkky,0.27755481004714966,0.3395232558250427,7,85.71428571428571,5,2,0.4
/m/0gr0m,0.37484028935432434,0.5,142,110.36619718309859,141,1,0.0070921985815602835
