entity,kg_sim_mu,kg_sim_sig,et_sim_mu,et_sim_sigma
/m/01nd2c,0.8055602605792059,0.1222866484314906,0.3905653456846873,0.1614619669543569
/m/02vzpb,0.3423068259957597,0.1665894271300156,0.4963666707277298,0.226197889495606
/m/03gyp30,0.4960845941977342,0.1132727315684599,0.5,0.0
/m/0c_tl,0.4924426109423931,0.1609085409036622,0.3183526694774627,0.0
/m/018wrk,0.4714693455417461,0.1697445908059148,0.5,0.0
/m/018ljb,0.4811507574006403,0.1616884543788664,0.5,0.0
/m/0ldqf,0.481959038495338,0.1540373331210634,0.3197339971860249,0.0139809425189739
/m/05kcgsf,0.6592335595971062,0.0651490959730281,0.5,0.0
/m/0b_6h7,0.3818171177304001,0.2794389210315364,0.5,0.0
/m/01xqqp,0.6104443835768294,0.1269829416908718,0.5,0.0
/m/0b_6x2,0.3593974120732948,0.2929337729670048,0.4013152743379275,0.2299806616178699
/m/02rc451,0.5,0.0,0.5,0.0
/m/0swbd,0.5371617258926183,0.1419739614583079,0.3641348133484522,0.0951213680114168
/m/024lff,0.3341745846208561,0.1752091358083704,0.4781115303436915,0.2215784464888185
/m/01s695,0.598998633583636,0.121455165847031,0.5,0.0
/m/05g_nr,0.6517227118778409,0.1545272217227596,0.2953239381313324,0.0
/m/0g3zpp,0.678918995676313,0.0860946640077668,0.5,0.0
/m/03nn7l2,0.4000815581745447,0.2308833398725225,0.3625893021623294,0.1444876731253938
/m/04gcyg,0.3109950380176191,0.1842684659331102,0.3797583963189806,0.1884471216840148
/m/0gfhg1y,0.4286629170179367,0.1271078064543786,0.5,0.0
/m/0j63cyr,0.454526815834094,0.1454745607153839,0.5,0.0
/m/0bq8tmw,0.3252072690206405,0.2005897047603358,0.4331206321716309,0.1065791248173165
/m/0d__c3,0.5216493975240004,0.1265516181132165,0.3988246619701385,0.0
/m/0fv89q,0.530457990384334,0.1343992399253244,0.3465772271156311,0.0
/m/0d68qy,0.3729263089540724,0.1819930729608294,0.4482732474803924,0.1444212495754765
/m/07f_t4,0.3261358719496609,0.1931124815773406,0.4228624462016991,0.1518148007810909
/m/026kq4q,0.4573124164157668,0.1217786190221267,0.5,0.0
/m/0jt3qpk,0.4968831452242703,0.1392888460475987,0.5,0.0
/m/0bzk2h,0.4854895636289412,0.1551748466941176,0.3988246619701385,0.0
/m/01vvyc_,0.2540085214625619,0.2477793125782516,0.3662623310121157,0.1598308926099515
/m/02f6g5,0.2807419046813134,0.1848405211947201,0.3520243068536122,0.0307564995168268
/m/0cmdwwg,0.3408882986469368,0.1997029582303289,0.5194077998399734,0.1828902108446477
/m/0bzm81,0.512470157082829,0.1483012206557931,0.3465772271156311,0.0
/m/0gx1673,0.5908721407371965,0.1485294819434725,0.5,0.0
/m/0bzn6_,0.5301517256592009,0.1371715248190745,0.3465772271156311,0.0
/m/0g57ws5,0.4027725835698618,0.1847562493112071,0.4115989804267883,0.0381112227506215
/m/073hgx,0.4896804674985638,0.1797232665535844,0.4876418113708496,0.1639444446206673
/m/073h5b,0.5062638730385848,0.1433509036254524,0.3465772271156311,0.0
/m/0h_cssd,0.59002501328296,0.1639175205913738,0.5,0.0
/m/02glmx,0.509359010849987,0.1359982653509895,0.7175233960151672,0.0
/m/050yyb,0.5046813858615584,0.1330321801101643,0.3206118643283844,0.0
/m/03rtmz,0.6207295884671675,0.1591771015642064,0.5,0.0
