entity,kg_sim_mu,et_sim_mu,degree,avg_txt_length,kg_degree,et_degree,type_kg_ratio
/m/04znsy,0.29056796431541443,0.41607117652893066,47,96.55319148936171,33,14,0.42424242424242425
/m/03mcwq3,0.28728702664375305,0.5801946520805359,25,106.84,21,4,0.19047619047619047
/m/02qvzf,0.7502638101577759,0.5,13,117.6923076923077,12,1,0.08333333333333333
/m/03xds,0.24615252017974854,0.5,4,92.75,3,1,0.3333333333333333
/m/0lhql,0.17784444987773895,0.42560654878616333,18,97.11111111111111,12,6,0.5
/m/020l9r,0.2231578826904297,0.36649587750434875,37,88.4054054054054,25,12,0.48
/m/05nwfr,0.8202769160270691,0.5,9,123.0,8,1,0.125
/m/0577d,0.3815824091434479,0.4901966452598572,20,63.8,8,12,1.5
/m/0k4gf,0.2536931037902832,0.3604320287704468,26,67.23076923076923,17,9,0.5294117647058824
/m/0fpzt5,0.2738391160964966,0.4199024736881256,30,103.7,23,7,0.30434782608695654
/m/02sdk9v,0.557399332523346,0.32362067699432373,169,124.97633136094674,165,4,0.024242424242424242
/m/011xy1,0.3333785831928253,0.3799903988838196,33,111.36363636363636,27,6,0.2222222222222222
/m/03m6_z,0.2270142138004303,0.3108941316604614,38,93.3157894736842,29,9,0.3103448275862069
/m/019tzd,0.6632717251777649,0.37068936228752136,73,118.73972602739725,63,10,0.15873015873015872
/m/01cgz,0.5415744185447693,0.39710357785224915,143,112.03496503496504,126,17,0.1349206349206349
/m/0bfvw2,0.4657704532146454,0.5,36,105.63888888888889,35,1,0.02857142857142857
/m/03ktjq,0.19599312543869019,0.5815379023551941,35,95.14285714285714,29,6,0.20689655172413793
/m/02knxx,0.6494991183280945,0.5,7,66.85714285714286,7,0,0.0
/m/0dq3c,0.3848857581615448,0.3548361659049988,44,126.86363636363636,39,5,0.1282051282051282
/m/0336mc,0.24565932154655457,0.41918379068374634,34,105.79411764705883,26,8,0.3076923076923077
/m/05pd94v,0.6420623660087585,0.39882493019104004,81,110.4074074074074,79,2,0.02531645569620253
/m/01yz0x,0.5152496099472046,0.5,16,127.9375,15,1,0.06666666666666667
/m/081pw,0.2746126651763916,0.36419397592544556,97,94.61855670103093,79,18,0.22784810126582278
/m/019pm_,0.22761844098567963,0.3788174092769623,79,101.9746835443038,65,14,0.2153846153846154
/m/0hsb3,0.29651761054992676,0.39022937417030334,52,107.38461538461539,39,13,0.3333333333333333
/m/072kp,0.34728389978408813,0.30378827452659607,29,96.86206896551724,25,4,0.16
/m/01z77k,0.5113171339035034,0.5,8,56.25,7,1,0.14285714285714285
/m/05r5c,0.4564312696456909,0.3851672112941742,278,104.13669064748201,265,13,0.04905660377358491
/m/0fm3nb,0.4564281404018402,0.5,5,109.4,5,0,0.0
/m/03bwzr4,0.5311370491981506,0.38499414920806885,100,159.55,96,4,0.041666666666666664
/m/024n3z,0.306351900100708,0.3791768550872803,22,105.0,19,3,0.15789473684210525
/m/0c3jz,0.22519458830356598,0.4418089985847473,27,100.5925925925926,21,6,0.2857142857142857
/m/035nm,0.25380879640579224,0.37842318415641785,24,93.66666666666667,15,9,0.6
/m/07vk2,0.3487808108329773,0.4479968249797821,37,121.64864864864865,30,7,0.23333333333333334
/m/07b_l,0.1626424938440323,0.2565985321998596,64,97.796875,52,12,0.23076923076923078
/m/03lrc,0.31802883744239807,0.2968699038028717,12,90.41666666666667,8,4,0.5
/m/02sgy,0.573283314704895,0.35904717445373535,146,113.68493150684931,135,11,0.08148148148148149
/m/01l9v7n,0.28164321184158325,0.6204174757003784,26,77.5,21,5,0.23809523809523808
/m/047gpsd,0.3949798047542572,0.4911562502384186,31,100.41935483870968,25,6,0.24
